iter	Passed	Remaining
0	9	9989
1	20	10295
2	31	10367
3	42	10492
4	55	10971
5	66	11004
6	76	10915
7	93	11543
8	105	11566
9	115	11442
10	125	11253
11	136	11247
12	148	11247
13	156	10997
14	168	11054
15	181	11133
16	190	11009
17	201	11010
18	212	10992
19	222	10904
20	234	10928
21	245	10921
22	255	10852
23	267	10887
24	277	10811
25	287	10765
26	298	10767
27	306	10648
28	317	10645
29	329	10638
30	338	10577
31	351	10641
32	364	10675
33	376	10684
34	386	10643
35	397	10651
36	406	10580
37	417	10564
38	428	10551
39	437	10505
40	449	10510
41	461	10520
42	471	10494
43	485	10547
44	498	10578
45	510	10582
46	519	10539
47	531	10547
48	544	10562
49	554	10530
50	567	10553
51	579	10565
52	591	10562
53	601	10529
54	613	10533
55	625	10538
56	634	10496
57	646	10497
58	657	10494
59	667	10455
60	680	10474
61	692	10477
62	703	10464
63	713	10430
64	724	10427
65	734	10394
66	746	10398
67	758	10394
68	769	10388
69	780	10375
70	793	10378
71	804	10374
72	814	10340
73	825	10336
74	839	10350
75	855	10403
76	896	10751
77	929	10981
78	993	11579
79	1059	12186
80	1096	12440
81	1140	12762
82	1190	13156
83	1219	13301
84	1261	13581
85	1283	13643
86	1294	13580
87	1308	13557
88	1322	13535
89	1334	13495
90	1345	13443
91	1359	13413
92	1370	13369
93	1382	13326
94	1391	13259
95	1405	13230
96	1417	13194
97	1427	13135
98	1438	13092
99	1449	13049
100	1459	12990
101	1472	12965
102	1484	12925
103	1495	12883
104	1506	12844
105	1518	12811
106	1530	12776
107	1540	12724
108	1552	12688
109	1564	12654
110	1573	12603
111	1585	12569
112	1597	12536
113	1606	12487
114	1619	12466
115	1632	12442
116	1644	12410
117	1654	12364
118	1665	12331
119	1677	12300
120	1686	12251
121	1698	12222
122	1709	12191
123	1719	12144
124	1732	12129
125	1745	12104
126	1755	12066
127	1765	12030
128	1777	12003
129	1787	11961
130	1797	11927
131	1809	11898
132	1819	11862
133	1832	11842
134	1844	11818
135	1855	11790
136	1865	11751
137	1877	11728
138	1888	11700
139	1898	11663
140	1910	11639
141	1921	11608
142	1932	11579
143	1944	11556
144	1955	11532
145	1965	11494
146	1976	11468
147	1987	11443
148	1997	11408
149	2009	11387
150	2024	11385
151	2035	11354
152	2046	11327
153	2059	11311
154	2070	11287
155	2079	11253
156	2091	11227
157	2102	11205
158	2111	11169
159	2123	11147
160	2134	11121
161	2144	11094
162	2156	11075
163	2167	11050
164	2177	11017
165	2188	10992
166	2197	10962
167	2208	10936
168	2220	10916
169	2229	10884
170	2241	10867
171	2254	10850
172	2264	10824
173	2274	10796
174	2285	10774
175	2295	10745
176	2305	10721
177	2317	10702
178	2327	10675
179	2338	10653
180	2350	10634
181	2362	10616
182	2372	10592
183	2383	10572
184	2393	10544
185	2404	10521
186	2415	10502
187	2425	10476
188	2436	10453
189	2449	10443
190	2461	10427
191	2472	10405
192	2483	10385
193	2495	10367
194	2505	10343
195	2517	10325
196	2528	10307
197	2538	10281
198	2551	10269
199	2563	10254
200	2573	10231
201	2584	10209
202	2596	10192
203	2605	10168
204	2616	10148
205	2629	10133
206	2639	10110
207	2650	10091
208	2662	10076
209	2672	10054
210	2683	10035
211	2695	10019
212	2705	9996
213	2716	9978
214	2726	9956
215	2737	9934
216	2747	9913
217	2759	9897
218	2770	9879
219	2781	9863
220	2793	9847
221	2804	9826
222	2814	9805
223	2825	9788
224	2835	9768
225	2846	9749
226	2858	9733
227	2869	9716
228	2880	9697
229	2892	9683
230	2903	9664
231	2913	9644
232	2924	9626
233	2934	9605
234	2945	9587
